Start Time,Stop Time,Initial Speaker,From,To,Protocol,Duration,Packets,State,Comments
2939.834185,2943.213975,10.200.110.100,"""bot27"" <sip:bot27@10.200.110.100>",<sip:bot32@10.200.110.111>,SIP,12:00:03 AM,7,REJECTED,INVITE 401 486
2939.846778,2943.209062,10.200.110.111,"""bot27"" <sip:bot27@10.200.110.111>",<sip:bot32@10.200.110.100:8532>,SIP,12:00:03 AM,4,REJECTED,INVITE 486
3119.842471,3619.850913,10.200.110.100,"""bot38"" <sip:bot38@10.200.110.100>",<sip:bot35@10.200.110.111>,SIP,12:08:20 AM,10,COMPLETED,INVITE 401 200
3119.926997,3310.369434,10.200.110.111,"""bot30"" <sip:bot30@10.200.110.111>",<sip:bot39@10.200.110.100:8539>,SIP,12:03:10 AM,7,COMPLETED,INVITE 200
3239.828885,3239.95875,10.200.110.100,"""bot42"" <sip:bot42@10.200.110.100>",<sip:bot44@10.200.110.111>,SIP,12:00:00 AM,3,REJECTED,INVITE 401
3239.894261,3239.960588,10.200.110.100,"""bot41"" <sip:bot41@10.200.110.100>",<sip:bot21@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
3240.027449,3240.034441,10.200.110.100,"""bot39"" <sip:bot39@10.200.110.100>",<sip:bot46@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
3539.748823,4094.661306,10.200.110.100,"""bot33"" <sip:bot33@10.200.110.100>",<sip:bot29@10.200.110.111>,SIP,12:09:14 AM,10,COMPLETED,INVITE 401 200
3539.782067,4027.548061,10.200.110.100,"""bot31"" <sip:bot31@10.200.110.100>",<sip:bot28@10.200.110.111>,SIP,12:08:07 AM,10,COMPLETED,INVITE 401 200
3539.792911,4027.561674,10.200.110.111,"""bot31"" <sip:bot31@10.200.110.111>",<sip:bot28@10.200.110.100:8528>,SIP,12:08:07 AM,7,COMPLETED,INVITE 200
